query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
26b,12,17,208.57,1,1433339.8,2543461.2,29747059.17,89981525.08,21542.61160254774,2
26c,12,17,302.09,1,129625.55,310970.22,6911578.04,19376083.730000004,4071.3674966320236,2
33a,14,19,38.79,1,12478725.66,47621445.53,7608934.81,17437545.909999996,1307.2830832694842,2
33b,14,19,1.72,1,21241836.71,48890751.37,30814526.46,56277138.09,4459.1713953224325,2
33c,14,19,1.91,1,11847560.67,30420580.22,9423762.78,29921582.45,2254.3352555360702,2
*,*,*,*,*,*,*,*,*,*,*
13a,9,11,1.0,0,64.85,134.38,7664.03,13504.679999999998,29.137833520216528,2
16b,8,11,1.0,0,15094.21,19480.64,702.61,1366.6,5.648654063445876,2
23c,11,16,1.0,0,140766.25,253502.08,66393438.18,151463365.73,48302.32572450057,2
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
27a,12,21,3.95,1,7979.57,14473.01,2449473.57,6696480.12,3186.2198315129044,3
27b,12,21,3.07,1,18997.99,36990.27,5848643.05,18184138.949999996,5586.416603162075,3
27c,12,21,3.75,1,18203.08,25085.120000000003,7874331.35,20790862.87,4808.987276364458,3
28a,14,23,1.03,1,12169.92,53992.22,198435690.87,539722679.7099999,28044.1224579033,3
28b,14,23,3.46,1,11465.78,19097.24,86428350.34,201033551.52,14035.299715107974,3
28c,14,23,1.92,1,100256.02,162593.88,321138591.14,967736278.58,55759.40918219083,3
30a,12,21,3.18,1,30588.42,66093.28,1108228.13,3733470.48,1726.94785872346,3
30b,12,21,11.64,1,86671.63,289726.55,65287259.93,177599590.99,52647.30444674671,3
30c,12,21,4.97,1,4921.98,18795.0,1108085.15,3538876.55,1175.557185687149,3
31a,11,20,1.2,1,10414.38,24141.300000000003,364453.06,1104242.0000000002,587.7163316390313,3
31b,11,20,3.13,1,19267.05,79095.64,3495720.08,8561781.11,6341.192211265122,3
31c,11,20,7.57,1,8221.4,24001.080000000005,608664.38,1339794.1600000001,568.7359844617818,3
29a,17,28,1.59,1,2518695.55,8550493.85,187456112696.45,600492346268.82,4494061.835088203,3
29b,17,28,274.44,1,17471363.25,40851741.63999999,219567439794.58,698448392452.18,4047495.649400621,3
29c,17,28,2.8,1,698827239.24,1469487089.1599998,445236478494.44,1308601340398.78,4069654.510812616,3
*,*,*,*,*,*,*,*,*,*,*
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
